Student_ID,Name,Gender,Class,Age,Marks_Math,Marks_English,Marks_Science,Attendance(%)
1,Ali,Male,Grade 1,10,50.0,45.0,40,70
2,Fatima,Female,Grade 2,11,52.2,46.5,42,73
3,Hassan,Male,Grade 3,12,54.4,48.0,44,76
4,Ayesha,Female,Grade 4,13,56.6,49.5,46,79
5,Bilal,Male,Grade 5,14,58.8,51.0,48,82
6,Sara,Female,Grade 6,15,61.0,52.5,50,85
7,Umar,Male,Grade 7,16,63.2,54.0,52,88
8,Maryam,Female,Grade 8,17,65.4,55.5,54,91
9,Ahmed,Male,Grade 9,10,67.6,57.0,56,94
10,Zainab,Female,Grade 10,11,59.8,58.5,58,97
11,Usman,Male,Grade 1,12,62.0,60.0,60,70
12,Khadija,Female,Grade 2,13,64.2,61.5,62,73
13,Hamza,Male,Grade 3,14,66.4,63.0,64,76
14,Hina,Female,Grade 4,15,68.6,64.5,66,79
15,Imran,Male,Grade 5,16,70.8,66.0,68,82
16,Iqra,Female,Grade 6,17,73.0,67.5,70,85
17,Danish,Male,Grade 7,10,75.2,69.0,72,88
18,Mehak,Female,Grade 8,11,67.4,70.5,74,91
19,Noman,Male,Grade 9,12,69.6,72.0,76,94
20,Rabia,Female,Grade 10,13,71.8,73.5,78,97
21,Talha,Male,Grade 1,14,74.0,75.0,80,70
22,Laiba,Female,Grade 2,15,76.2,76.5,82,73
23,Fahad,Male,Grade 3,16,78.4,78.0,84,76
24,Anum,Female,Grade 4,17,80.6,79.5,86,79
25,Adnan,Male,Grade 5,10,82.8,81.0,88,82
26,Hira,Female,Grade 6,11,75.0,82.5,90,85
27,Tariq,Male,Grade 7,12,77.2,84.0,92,88
28,Sana,Female,Grade 8,13,79.4,85.5,94,91
29,Adeel,Male,Grade 9,14,81.6,87.0,96,94
30,Mariam,Female,Grade 10,15,83.8,88.5,98,97
31,Sameer,Male,Grade 1,16,86.0,90.0,40,70
32,Eman,Female,Grade 2,17,88.2,91.5,42,73
33,Rizwan,Male,Grade 3,10,90.4,93.0,44,76
34,Nida,Female,Grade 4,11,92.6,94.5,46,79
35,Saad,Male,Grade 5,12,84.8,96.0,48,82
36,Maha,Female,Grade 6,13,87.0,97.5,50,85
37,Zeeshan,Male,Grade 7,14,89.2,99.0,52,88
38,Noor,Female,Grade 8,15,91.4,45.5,54,91
39,Shahid,Male,Grade 9,16,93.6,47.0,56,94
40,Aqsa,Female,Grade 10,17,95.8,48.5,58,97
41,Junaid,Male,Grade 1,10,98.0,50.0,60,70
42,Arfa,Female,Grade 2,11,100.2,51.5,62,73
43,Waqar,Male,Grade 3,12,92.4,53.0,64,76
44,Farah,Female,Grade 4,13,94.6,54.5,66,79
45,Rehan,Male,Grade 5,14,96.8,56.0,68,82
46,Bushra,Female,Grade 6,15,99.0,57.5,70,85
47,Asad,Male,Grade 7,16,101.2,59.0,72,88
48,Nimra,Female,Grade 8,17,103.4,60.5,74,91
49,Haris,Male,Grade 9,10,105.6,62.0,76,94
50,Kiran,Female,Grade 10,11,107.8,63.5,78,97
